"","emp_percent","excl_percent","earn_ratio","pc_live","pc_secure","pc_voted","pc_voted.1","hp_ratio","AccScore","Cluster","include"
"E01006189",70.3007518796992,8.49971477467199,3.82117647058824,78.4660766961652,91.0967741935484,74.9233128834356,69.8619631901841,8.36433359019193,0,4,"YES"
"E01006190",80.749354005168,4.41947565543071,4.20723572802914,85.2252252252252,91.6041979010495,84.820607175713,80.0367985280589,14.108813778878,1,2,"YES"
"E01006191",79.1255289139633,2.9718875502008,3.9416606317567,84.952380952381,91.2280701754386,83.4645669291339,79.9212598425197,13.803125,0,2,"YES"
"E01006192",79.3462109955424,4.15282392026578,3.60445205479452,87.4743326488706,90.5821917808219,82.8961175236097,79.4333683105981,12.2355197401855,0,3,"YES"
"E01006193",81.046676096181,3.51758793969849,3.81841152775325,88.6756238003839,90.0826446280992,84.8920863309353,80.7810894141829,13.5297994493429,0,2,"YES"
"E01006194",81.5433571996818,4.46476600322754,3.23815375434028,86.6050808314088,92.512315270936,84.3191196698762,77.372764786795,12.855172994031,0,3,"YES"
"E01006195",81.0588235294118,3.02178496134926,3.61636664496528,85.5987055016181,90.5020352781547,82.9119442022668,80.2964254577158,14.0768072076402,1,2,"YES"
"E01006196",79.4871794871795,4,4.03129388726487,85.3881278538813,91.6778523489933,81.5198618307427,78.7564766839378,12.229189843179,1,2,"YES"
"E01006197",80.8844507845934,4.18088737201365,4.11764705882353,83.4285714285714,91.0774410774411,80.2375809935205,74.4060475161987,9.51418836056781,0,3,"YES"
"E01006198",76.1173184357542,6.5149136577708,4.08405389077762,81.9734345351044,91.4332784184514,80.3643724696356,75.2024291497976,10.152027027027,0,3,"YES"
"E01006199",72.3247232472325,8.71491875923191,3.71898491225899,82.1428571428571,93.9698492462311,76.1165048543689,71.0679611650485,8.34121863799283,1,4,"YES"
"E01006200",77.3109243697479,4.50949367088608,3.84557092310726,79.5566502463054,92.5847457627119,68.1481481481482,75.026455026455,10.4196541986773,0,4,"YES"
"E01006201",76.9712140175219,6.33223684210526,3.5,84.8030018761726,90.8360128617363,80.5696846388606,71.1088504577823,10.6354430514661,0,3,"YES"
"E01006202",71.500630517024,8.18181818181818,4.1273793575044,84.7908745247148,89.9317406143345,84.1897233201581,75.296442687747,14.3079385964912,0,2,"YES"
"E01006203",77.1345875542692,4.23875432525952,4.26184112117035,81.1088295687885,90.1893287435456,81.2433011789925,79.7427652733119,13.1042553191489,1,2,"YES"
"E01006204",77.3255813953488,3.88198757763975,3.52745215516399,85.0715746421268,89.8819561551433,81.6955684007707,81.3102119460501,11.5325815554203,1,3,"YES"
"E01006205",75.593220338983,3.46399270738377,4.73912771579122,84.4827586206897,88.5947046843177,80.2469135802469,79.3490460157127,15.234523291464,0,2,"YES"
"E01006206",73.396674584323,6.02572782667569,3.84766775250294,82.3529411764706,89.9845916795069,75.3902662993572,70.2479338842975,9.26625837584716,0,4,"YES"
"E01006207",65.7103825136612,11.7384843982169,3.40845241075337,76.0180995475113,92.6441351888668,66.2486938349007,66.1442006269592,8.17142496964898,0,1,"YES"
"E01006208",75.8426966292135,6.25501202886929,4.03990328970766,80.1204819277108,87.5,79.1967044284243,75.4891864057673,11.6105703554727,0,2,"YES"
"E01006209",79.5287187039764,3.71775417298938,4.28423168807768,86.0566448801743,89.3728222996516,81.0246679316888,79.3168880455408,17.0024583333333,2,2,"YES"
"E01006210",74.1975308641975,5.24399126001457,4.60478299067811,84.0225563909774,90.2362204724409,84.9909584086799,77.124773960217,13.4624898621249,1,2,"YES"
"E01006211",69.5224719101124,7.10862619808307,4.23526315789474,78.8418708240534,90.2621722846442,72.2222222222222,71.8106995884774,12.6598323591047,1,4,"YES"
"E01006212",77.0731707317073,6.08919382504288,3.64705882352941,79.8715203426124,90.6666666666667,64.4396551724138,74.676724137931,5.78178466477177,4,3,"YES"
"E01006213",61.5491009681881,12.2944400939702,4.41176470588235,76.4705882352941,91.7355371900827,64.6608315098468,63.019693654267,3.9844834423954,2,1,"YES"
"E01006214",68.3563748079877,10.036496350365,3.47987280547055,77.2946859903382,91.2579957356077,67.2862453531598,64.9318463444857,3.62363630567827,2,4,"YES"
"E01006215",61.6690240452617,11.8681318681319,4.15061657478837,73.7745098039216,92.9515418502203,55.979381443299,67.7319587628866,3.85149788898936,2,1,"YES"
"E01006216",75.2302025782689,7.29166666666667,4.21940516218354,77.6923076923077,92.3337091319053,73.7410071942446,71.4388489208633,5.97159360817956,6,3,"YES"
"E01006217",71.1053089643168,8.44257996853697,3.89504295433579,77.3611111111111,92.797118847539,73.2867132867133,68.4615384615385,5.71057142857143,0,4,"YES"
"E01006218",67.9313459801265,10.3019538188277,3.96278454866396,78.0203784570597,90.6048906048906,73.5543562066307,66.692367000771,5.20647848259814,1,4,"YES"
