"num_priority_groups","run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
2,33,582,1094.02812223073,46.0711516494218,0,0
3,33,55,942.978806072301,45.4851215463207,0,0
NA,33,20221,1726.09565309581,47.100226975537,0,0
1,34,6665,1581.57909847858,45.9853081785678,0,0
2,34,582,1094.02812223073,46.0711516494218,0,0
3,34,55,942.978806072301,45.4851215463207,0,0
NA,34,20221,1726.09565309581,47.100226975537,0,0
1,35,6665,1581.57909847858,45.9853081785678,0,0
2,35,582,1094.02812223073,46.0711516494218,0,0
3,35,55,942.978806072301,45.4851215463207,0,0
NA,35,20221,1726.09565309581,47.100226975537,0,0
1,36,6665,1581.57909847858,45.9853081785678,0,0
2,36,582,1094.02812223073,46.0711516494218,0,0
3,36,55,942.978806072301,45.4851215463207,0,0
NA,36,20221,1726.09565309581,47.100226975537,0,0
1,37,6665,1581.57909847858,45.9853081785678,0,0
2,37,582,1094.02812223073,46.0711516494218,0,0
3,37,55,942.978806072301,45.4851215463207,0,0
NA,37,20221,1726.09565309581,47.100226975537,0,0
1,38,6665,1581.57909847858,45.9853081785678,0,0
2,38,582,1094.02812223073,46.0711516494218,0,0
3,38,55,942.978806072301,45.4851215463207,0,0
NA,38,20221,1726.09565309581,47.100226975537,0,0
1,39,6665,1581.57909847858,45.9853081785678,0,0
2,39,582,1094.02812223073,46.0711516494218,0,0
3,39,55,942.978806072301,45.4851215463207,0,0
NA,39,20221,1726.09565309581,47.100226975537,0,0
1,40,6665,1581.57909847858,45.9853081785678,0,0
2,40,582,1094.02812223073,46.0711516494218,0,0
3,40,55,942.978806072301,45.4851215463207,0,0
NA,40,20221,1726.09565309581,47.100226975537,0,0
1,41,6665,1581.57909847858,45.9853081785678,0,0
2,41,582,1094.02812223073,46.0711516494218,0,0
3,41,55,942.978806072301,45.4851215463207,0,0
NA,41,20221,1726.09565309581,47.100226975537,0,0
1,42,6665,1581.57909847858,45.9853081785678,0,0
2,42,582,1094.02812223073,46.0711516494218,0,0
3,42,55,942.978806072301,45.4851215463207,0,0
NA,42,20221,1726.09565309581,47.100226975537,0,0
1,43,6665,1581.57909847858,45.9853081785678,0,0
2,43,582,1094.02812223073,46.0711516494218,0,0
3,43,55,942.978806072301,45.4851215463207,0,0
NA,43,20221,1726.09565309581,47.100226975537,0,0
1,44,6665,1581.57909847858,45.9853081785678,0,0
2,44,582,1094.02812223073,46.0711516494218,0,0
3,44,55,942.978806072301,45.4851215463207,0,0
NA,44,20221,1726.09565309581,47.100226975537,0,0
1,45,6665,1581.57909847858,45.9853081785678,0,0
2,45,582,1094.02812223073,46.0711516494218,0,0
3,45,55,942.978806072301,45.4851215463207,0,0
NA,45,20221,1726.09565309581,47.100226975537,0,0
1,46,6665,1581.57909847858,45.9853081785678,0,0
