,LSOA11CD
213872,S01010079
213873,S01010082
213874,S01010068
213875,S01010067
213876,S01010051
213877,S01010060
213878,S01010060
213879,S01010059
213880,S01010056
213881,S01010049
213882,S01010150
213883,S01010151
213884,S01010151
213885,S01010062
213886,S01010141
213887,S01010141
213888,S01010147
213889,S01010147
213890,S01010146
213891,S01010146
213892,S01010063
213893,S01010063
213894,S01010139
213895,S01010164
213896,S01010172
213897,S01010153
213898,S01010157
213899,S01010163
213900,S01010178
213901,S01010177
213902,S01010177
213903,S01010162
213904,S01010162
213905,S01010162
213906,S01010165
213907,S01010102
213908,S01010103
213909,S01009984
213910,S01010272
213911,S01010503
213912,S01010278
213913,S01010277
213914,S01010369
213915,S01010277
213916,S01010277
213917,S01010302
213918,S01010304
213919,S01010262
213920,S01010262
213921,S01010262
213922,S01010257
213923,S01010270
213924,S01010270
213925,S01010270
213926,S01010023
213927,S01010023
213928,S01010029
213929,S01010029
213930,S01010026
213931,S01010025
213932,S01010386
213933,S01010415
213934,S01010394
213935,S01010481
213936,S01010481
213937,S01010478
213938,S01010478
213939,S01010479
213940,S01010479
213941,S01010447
213942,S01010447
213943,S01010428
213944,S01010423
213945,S01010439
213946,S01010455
213947,S01010455
213948,S01010489
213949,S01010489
213950,S01010496
213951,S01010498
213952,S01010493
213953,S01010493
213954,S01010491
213955,S01010491
213956,S01010495
213957,S01010314
213958,S01010314
213959,S01010316
213960,S01010361
213961,S01010361
213962,S01010361
213963,S01010359
213964,S01010359
213965,S01010359
213966,S01010360
213967,S01010360
213968,S01010318
213969,S01010326
213970,S01010347
213971,S01010347
213972,S01010355
213973,S01010355
213974,S01010357
213975,S01010357
213976,S01010353
213977,S01010353
213978,S01010353
213979,S01010354
