FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S01006372,S01006372,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004888,S01004888,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001721,S01001721,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006366,S01006366,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006367,S01006367,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004890,S01004890,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001723,S01001723,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006365,S01006365,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004146,S01004146,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001722,S01001722,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001718,S01001718,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006368,S01006368,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004148,S01004148,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001717,S01001717,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004147,S01004147,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001720,S01001720,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001719,S01001719,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001868,S01001868,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006277,S01006277,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004088,S01004088,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001867,S01001867,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006276,S01006276,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004087,S01004087,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004926,S01004926,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001869,S01001869,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004925,S01004925,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006279,S01006279,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006280,S01006280,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001864,S01001864,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001866,S01001866,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006278,S01006278,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004089,S01004089,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001865,S01001865,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004085,S01004085,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001875,S01001875,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001874,S01001874,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006273,S01006273,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004928,S01004928,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004084,S01004084,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001876,S01001876,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006272,S01006272,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006275,S01006275,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004086,S01004086,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001870,S01001870,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001871,S01001871,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006274,S01006274,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001873,S01001873,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001872,S01001872,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004927,S01004927,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001854,S01001854,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004093,S01004093,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001853,S01001853,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006286,S01006286,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001856,S01001856,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004923,S01004923,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006285,S01006285,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001855,S01001855,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001850,S01001850,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001851,S01001851,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004095,S01004095,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006288,S01006288,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004094,S01004094,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001852,S01001852,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006287,S01006287,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
