"DataZone","Name","Council","% of children in poverty"
"S01010173","Riddrie and Hogganfield - 02","Glasgow City",32.4
"S01010174","Riddrie and Hogganfield - 03","Glasgow City",20.5
"S01010175","Riddrie and Hogganfield - 04","Glasgow City",27.1
"S01010176","Riddrie and Hogganfield - 05","Glasgow City",31.2
"S01010177","Riddrie and Hogganfield - 06","Glasgow City",57.8
"S01010178","Riddrie and Hogganfield - 07","Glasgow City",37.4
"S01010179","Blackhill and Barmulloch East - 01","Glasgow City",33.5
"S01010180","Blackhill and Barmulloch East - 02","Glasgow City",25.8
"S01010181","Blackhill and Barmulloch East - 03","Glasgow City",30.6
"S01010182","Blackhill and Barmulloch East - 04","Glasgow City",12.5
"S01010183","Blackhill and Barmulloch East - 05","Glasgow City",31.6
"S01010184","Blackhill and Barmulloch East - 06","Glasgow City",55.3
"S01010185","Blackhill and Barmulloch East - 07","Glasgow City",44
"S01010186","Robroyston and Millerston - 01","Glasgow City",16.8
"S01010187","Robroyston and Millerston - 02","Glasgow City",12.9
"S01010188","Robroyston and Millerston - 03","Glasgow City",12.7
"S01010189","Robroyston and Millerston - 04","Glasgow City",13.5
"S01010190","Robroyston and Millerston - 05","Glasgow City",14
"S01010191","Robroyston and Millerston - 06","Glasgow City",15.7
"S01010192","Robroyston and Millerston - 07","Glasgow City",32
"S01010193","Robroyston and Millerston - 08","Glasgow City",13.4
"S01010194","Balornock - 01","Glasgow City",34.6
"S01010195","Balornock - 02","Glasgow City",32.3
"S01010196","Balornock - 03","Glasgow City",38.2
"S01010197","Balornock - 04","Glasgow City",46.5
"S01010198","Balornock - 05","Glasgow City",32.3
"S01010199","Barmulloch - 01","Glasgow City",24.3
"S01010200","Barmulloch - 02","Glasgow City",25.6
"S01010201","Barmulloch - 03","Glasgow City",43.8
"S01010202","Barmulloch - 04","Glasgow City",35.6
"S01010203","Petershill - 01","Glasgow City",12.5
"S01010204","Petershill - 02","Glasgow City",37.7
"S01010205","Petershill - 03","Glasgow City",34.8
"S01010206","Petershill - 04","Glasgow City",0
"S01010207","Petershill - 05","Glasgow City",63.8
"S01010208","Petershill - 06","Glasgow City",20.3
"S01010209","Springburn - 01","Glasgow City",37.8
"S01010210","Springburn - 02","Glasgow City",20.6
"S01010211","Springburn - 03","Glasgow City",40.3
"S01010212","Springburn - 04","Glasgow City",48.8
"S01010213","Springburn - 05","Glasgow City",36.6
"S01010214","Springburn East and Cowlairs - 01","Glasgow City",20.8
"S01010215","Springburn East and Cowlairs - 02","Glasgow City",27
"S01010216","Springburn East and Cowlairs - 03","Glasgow City",44
"S01010217","Springburn East and Cowlairs - 04","Glasgow City",44.9
"S01010218","Springburn East and Cowlairs - 05","Glasgow City",47.7
"S01010219","Cowlairs and Port Dundas - 01","Glasgow City",9.4
"S01010220","Cowlairs and Port Dundas - 02","Glasgow City",11.9
"S01010221","Cowlairs and Port Dundas - 03","Glasgow City",39.5
"S01010222","Cowlairs and Port Dundas - 04","Glasgow City",43.4
"S01010223","Cowlairs and Port Dundas - 05","Glasgow City",28.8
"S01010224","Cowlairs and Port Dundas - 06","Glasgow City",42.9
"S01010225","Sighthill - 01","Glasgow City",39.7
"S01010226","Sighthill - 02","Glasgow City",0
"S01010227","Sighthill - 03","Glasgow City",0
"S01010228","Roystonhill, Blochairn, and Provanmill - 01","Glasgow City",30.3
"S01010229","Roystonhill, Blochairn, and Provanmill - 02","Glasgow City",24.5
"S01010230","Roystonhill, Blochairn, and Provanmill - 03","Glasgow City",62.8
"S01010231","Roystonhill, Blochairn, and Provanmill - 04","Glasgow City",43.8
"S01010232","Roystonhill, Blochairn, and Provanmill - 05","Glasgow City",28.6
"S01010233","Roystonhill, Blochairn, and Provanmill - 06","Glasgow City",35.9
"S01010234","Dennistoun North - 01","Glasgow City",7.4
